ext_id,name,reason,ok,error,size,perms,host_perms,js_len,has_signal,eval_count,atob_count
jehpcklodflliemeoalmcpbbjhmibnoa,Telegram ??Multi-account,Malware,False,Empty response for extension jehpcklodflliemeoalmcpbbjhmibno,0,0,0,0,False,0,0
pfdefjcfknbodekmaenhhbnpcbalegba,Web For Whatsapp,Malware,False,Empty response for extension pfdefjcfknbodekmaenhhbnpcbalegb,0,0,0,0,False,0,0
pcngchfbfgejllcbhmeadjhiebebiome,Ledgerlook Wallet Checker,Malware,False,Empty response for extension pcngchfbfgejllcbhmeadjhiebebiom,0,0,0,0,False,0,0
hecfogjmfjkghhgggkmhlflilmjeckap,Uniswap Tracker Price Pro,Malware,False,Empty response for extension hecfogjmfjkghhgggkmhlflilmjecka,0,0,0,0,False,0,0
nojanoccemhagmebpkhheceeciakbnjj,Rodeo Gaming,Malware,True,,453586,3,2.0,300000,True,0.0,0.0
kbjgcbphgpmocnifmiabfcnglomheonp,Draw on Web,Malware,True,,144575,3,0.0,300001,True,0.0,0.0
aahhemfjdkjamblajnjcddcffpcpmlia,Best Snake,Malware,True,,82685,1,0.0,11527,True,0.0,0.0
chalophnpjhcokicndlginmjenocddlh,Freevault Web Proxy,Bundling Unwanted Software,False,Empty response for extension chalophnpjhcokicndlginmjenocddl,0,0,0,0,False,0,0
hmfdgglohegpbemenokedmennamogphp,1 Porn Blocker,Bundling Unwanted Software,False,Empty response for extension hmfdgglohegpbemenokedmennamogph,0,0,0,0,False,0,0
kfkokclkgdaoojdeelpgbpnlmldphgcn,Sprunki Jogue GráTis Onli,Malware,False,Empty response for extension kfkokclkgdaoojdeelpgbpnlmldphgc,0,0,0,0,False,0,0
mgllgankehlbdoilaceaonghicfmimmc,Ears Bass Boost Eq Any Au,Malware,False,Empty response for extension mgllgankehlbdoilaceaonghicfmimm,0,0,0,0,False,0,0
cfkbpiicadkonbjaddbnmjcaepjglpbk,L?Dg?R Web3 Price Viewer,Malware,False,Empty response for extension cfkbpiicadkonbjaddbnmjcaepjglpb,0,0,0,0,False,0,0
kplifmfngleolljpdhnialhbdngkdneb,Sprunki Phase 7,Malware,False,Empty response for extension kplifmfngleolljpdhnialhbdngkdne,0,0,0,0,False,0,0
pakhdpiedpnponclldmbkiidkhfblejc,Video Downloader Pro,Bundling Unwanted Software,False,Empty response for extension pakhdpiedpnponclldmbkiidkhfblej,0,0,0,0,False,0,0
ddoefjnfdljmcabjebkjfodacklofinf,Watch Movies Online Pro,Bundling Unwanted Software,False,Empty response for extension ddoefjnfdljmcabjebkjfodacklofin,0,0,0,0,False,0,0
flpilgddmpnebaiedbkofhofmplgiiil,Chatgpt For Google Cse,Bundling Unwanted Software,False,Empty response for extension flpilgddmpnebaiedbkofhofmplgiii,0,0,0,0,False,0,0
cgdelbjbpigakkmnampgkeigekpacodn,UPS Tracking,Search Hijacking,False,Server disconnected without sending a response.,0,0,0,0,False,0,0
eheokfekdhicohflnahpfmifnlnbkfoj,Games Search,Search Hijacking,True,,32470,2,1.0,10771,True,0.0,0.0
jgkjicglapnoiojomfhcgchmckpgfmag,Majestic Mountain Views,Search Hijacking,False,,0,0,0,0,False,0,0
aajmeahnoefldipnjgodkobfdcpmapno,?????,Search Hijacking,False,Server disconnected without sending a response.,0,0,0,0,False,0,0
dmnopdmknoocmplpjbgjpncgajiclbhj,EspoCRM chat for company,Malware,True,,2444587,2,0.0,300005,True,0.0,0.0
dfolmkiioopcjhlgplmgghaafoobkfon,Gold Miner,Malware,True,,3521804,0,0.0,300003,True,0.0,1.0
inpoelmimmiplkcldmdljiboidfkcfbh,Presearch.com Search With Us,Search Hijacking,False,,0,0,0,0,False,0,0
mpbjfchndgabpbglafphfphelhffelkg,GmCrm,Malware,False,,0,0,0,0,False,0,0
fmdkcjleingneojldbkfifminfmjiblf,ZappMaster CRM,Malware,False,,0,0,0,0,False,0,0
eliddpopegfnapciabpclokjfedpnpij,WaUp,Malware,False,,0,0,0,0,False,0,0
olpfgimlmpcpofnabplhbanbpkcpopkh,ColorMaster,Malware,True,,4987755,4,5.0,300012,True,0.0,0.0
bhkibpbnfknollmiebgefgadfkjhnaph,Extract Leads,Malware,False,,0,0,0,0,False,0,0
lknmnhjamocaadonhopjcbalpjpihhjf,Cfo Csflipsoptions,Bundling Unwanted Software,False,Empty response for extension lknmnhjamocaadonhopjcbalpjpihhj,0,0,0,0,False,0,0
eebpkpoeaeipbacgonjddkndinpmpjbk,TTH - CS2TradersPlus,Bundling Unwanted Software,False,Empty response for extension eebpkpoeaeipbacgonjddkndinpmpjb,0,0,0,0,False,0,0
hffmhlcgfpooadknhghclaocenbaobfl,Buff Utility Converter,Bundling Unwanted Software,False,Empty response for extension hffmhlcgfpooadknhghclaocenbaobf,0,0,0,0,False,0,0
cmghehjbjilcfciodcbolemnlcliaofb,Base Web3 Extension,Malware,False,Empty response for extension cmghehjbjilcfciodcbolemnlcliaof,0,0,0,0,False,0,0
hakljifdbjcjinlfkmbnecagjmgmlooh,???? ???,Bundling Unwanted Software,False,Empty response for extension hakljifdbjcjinlfkmbnecagjmgmloo,0,0,0,0,False,0,0
hfijkbdkpidafdbeebnnkhfccildbcle,Multi Chain Explorer,Malware,False,Empty response for extension hfijkbdkpidafdbeebnnkhfccildbcl,0,0,0,0,False,0,0
jeejphgepchmchdfihkceoleejbohmaj,MDU Voice,Malware,True,,907907,2,2.0,300006,True,2.0,0.0
hoecpacncalchikbmplgelfakglemgfb,Triv Shield,Malware,False,Empty response for extension hoecpacncalchikbmplgelfakglemgf,0,0,0,0,False,0,0
eejjlbledknodmhedabibmagbofnonal,Traffic Escape Game,Malware,True,,4586149,0,0.0,300001,True,0.0,0.0
aldlfocdncmkocaeifmeihkddpanoioc,MoraesCRM,Malware,False,,0,0,0,0,False,0,0
jmlgannjlbliikgcaieomgmcnfplglea,Crypto Alerter Price Alar,Malware,False,Empty response for extension jmlgannjlbliikgcaieomgmcnfplgle,0,0,0,0,False,0,0
eiamiknkelfkfombkabmpdanicllfohk,Outsurf,Malware,False,Empty response for extension eiamiknkelfkfombkabmpdanicllfoh,0,0,0,0,False,0,0
ifiaoagjidkedahdcgpjipkhmnkkhcid,SLOT KATANA FRUITS,Malware,True,,7302420,0,0.0,300003,True,0.0,0.0
pnicnlpcgdfacgolcklinacjnckdlhoe,Todo Task Reminder,Bundling Unwanted Software,False,Empty response for extension pnicnlpcgdfacgolcklinacjnckdlho,0,0,0,0,False,0,0
lanlgpbaimolmaddlhkdikbekkhgchnb,Snakes & Ladders,Malware,True,,6977016,0,0.0,300003,True,0.0,1.0
ialiakkbglbihgmbgeaoelcinpbhlilh,Game Kittygram Pro,Malware,True,,9688396,0,0.0,300006,True,0.0,1.0
ipheamjlmfijfmnlilfgdamehkpahdak,Tradingview To Telegram,Bundling Unwanted Software,False,Empty response for extension ipheamjlmfijfmnlilfgdamehkpahda,0,0,0,0,False,0,0
baffilaaljkakhloamdjbnfnmamgdeif,Adblock Lite Free Ad Bloc,Bundling Unwanted Software,False,Empty response for extension baffilaaljkakhloamdjbnfnmamgdei,0,0,0,0,False,0,0
noekegnglokhjbnjhjolnimjeieffmpc,Okx Dashboard Web3 Extent,Malware,False,Empty response for extension noekegnglokhjbnjhjolnimjeieffmp,0,0,0,0,False,0,0
afmnhhnlbbchngemmabpfgeelbecmlim,Free Trial Extension,Bundling Unwanted Software,False,Empty response for extension afmnhhnlbbchngemmabpfgeelbecmli,0,0,0,0,False,0,0
lkglljbhdhdcjlcmfeopmaboidhgilcm,Calculatrice Extension,Bundling Unwanted Software,False,Empty response for extension lkglljbhdhdcjlcmfeopmaboidhgilc,0,0,0,0,False,0,0
ajdebbjbeooifamghmcociacfilnnjke,Ficflow Interactive Fanfi,Bundling Unwanted Software,False,Empty response for extension ajdebbjbeooifamghmcociacfilnnjk,0,0,0,0,False,0,0
fgfeannafimcaeahgahogephmdjkdnmf,Secure Password Generator,Bundling Unwanted Software,False,Empty response for extension fgfeannafimcaeahgahogephmdjkdnm,0,0,0,0,False,0,0
lbmehpcifbmhepcibikibdpngpdiclpe,Free Trial Extension,Bundling Unwanted Software,False,Empty response for extension lbmehpcifbmhepcibikibdpngpdiclp,0,0,0,0,False,0,0
bnolicehjnimmdfkihmojhonickmhegp,Ghostape,Bundling Unwanted Software,False,Empty response for extension bnolicehjnimmdfkihmojhonickmheg,0,0,0,0,False,0,0
kkkoejaiilcofkhggclkbogjpinhjppm,Ghostape Color Theme Cust,Bundling Unwanted Software,False,Empty response for extension kkkoejaiilcofkhggclkbogjpinhjpp,0,0,0,0,False,0,0
ghghlmhijkhibgebijmhndeigcfnnidl,Free Trial Extension,Bundling Unwanted Software,False,Empty response for extension ghghlmhijkhibgebijmhndeigcfnnid,0,0,0,0,False,0,0
cdihfmofmbpemenjpaakdkajhnjibhep,Electric Indigo,Bundling Unwanted Software,False,Empty response for extension cdihfmofmbpemenjpaakdkajhnjibhe,0,0,0,0,False,0,0
cmkgpcadhalbkflgfalnhodgkppppcdl,Css Harvestor,Bundling Unwanted Software,False,Empty response for extension cmkgpcadhalbkflgfalnhodgkppppcd,0,0,0,0,False,0,0
piemickdbnljckmacadfbllbjickjhkh,Cyan Pulse,Bundling Unwanted Software,False,Empty response for extension piemickdbnljckmacadfbllbjickjhk,0,0,0,0,False,0,0
heeinfaehfpohkjmneeaimdafeecebah,Hope Generator,Bundling Unwanted Software,False,Empty response for extension heeinfaehfpohkjmneeaimdafeeceba,0,0,0,0,False,0,0
