timestamp,extension_id,field,old_value,new_value,confidence,method
2026-08-29T10:05:32,pnlphjjfielecalmmjjdhjjninkbjdod,extension_name,Not Found,FastSave,Medium,XGBoost + Isolation Forest + dynamic sandbox
2026-08-29T10:05:32,pnlphjjfielecalmmjjdhjjninkbjdod,version,Not Confirmed,3.8.8,Medium,XGBoost + Isolation Forest + dynamic sandbox
2026-08-29T10:05:32,pnlphjjfielecalmmjjdhjjninkbjdod,store,Not Confirmed,Chrome,Medium,XGBoost + Isolation Forest + dynamic sandbox
2026-08-29T10:05:32,pnlphjjfielecalmmjjdhjjninkbjdod,sha256,Not Found,c912cc22763ed29688a08290cb4b7d9969bd74fc4882dc6b89616f36729b469e,Medium,XGBoost + Isolation Forest + dynamic sandbox
2026-08-29T10:05:32,pnlphjjfielecalmmjjdhjjninkbjdod,date,N/A,8/29/2026,Medium,XGBoost + Isolation Forest + dynamic sandbox
2026-08-29T10:05:32,pnlphjjfielecalmmjjdhjjninkbjdod,reason,Not yet confirmed,Spyware / Data Exfiltration,Medium,XGBoost + Isolation Forest + dynamic sandbox
2026-08-29T10:07:02,clgficggccelgifppbcaepjdkklfcefd,version,Not Confirmed,4.0.23,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:08:10,fdpohaocaechififmbbbbbknoalclacl,version,Not Confirmed,7.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:08:44,faenbbkpfnklhncjianlfllkfekgghih,version,Not Confirmed,1.2.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:09:21,hjfdehobejconpkfgoldlpiidddkmbkm,version,Not Confirmed,1.5.2,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:10:07,ohbfphafneajpieeeinfpcpnmammgjdd,version,Not Confirmed,1.3,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:07,ohbfphafneajpieeeinfpcpnmammgjdd,sha256,Not Found,8aa8e1bfb4c45faaac42dd7df992e28d7297d77c42682ce92a77d169c121a36d,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:07,emkagjbnabikkibhclebiibndffkjiho,version,Not Confirmed,1.1.2,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:07,emkagjbnabikkibhclebiibndffkjiho,sha256,Not Found,ba58bbd302418c6870203e944e03371c70838ceb222081ce8f1892f92c0c7e27,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:15,fpnoakhilpcinbooidbcmeeioflmcpck,version,Not Confirmed,2.0,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:15,fpnoakhilpcinbooidbcmeeioflmcpck,sha256,Not Found,f2703c5defcb5600b809d59584c19c3ec1ad9424bff72190682aaa3c73dc10b6,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:44,cahbnklfddaodggaamglmfdnogpgmnla,version,Not Confirmed,1.0.0,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:46,jcgagbbfepkikcdjlppjmphcfjbbakmf,version,Not Confirmed,1.9.10.94,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:10:46,jcgagbbfepkikcdjlppjmphcfjbbakmf,sha256,Not Found,8ab513ba98d4937145991e4f6b1e1957a0dee2394b739a3fb331a9c1d9d8f1a5,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:11:14,idgpnmonknjnojddfkpgkljpfnnfcklj,version,Not Confirmed,3.1.9,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:11:31,dmgmeikmlhmmannflgejmdonbefmkiif,version,Not Confirmed,1.7.6.39,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:11:31,dmgmeikmlhmmannflgejmdonbefmkiif,sha256,Not Found,1ab9eff15c3a31081283dea64e33f4691be5318de923038e65a175090c23c401,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:12:28,okhibkagcfjdiphcbpepgkcgpbeehmlf,version,Not Confirmed,2026.08.25,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:12:28,okhibkagcfjdiphcbpepgkcgpbeehmlf,sha256,Not Found,a9ea470d198491d365b631695ffa7ad1bc4a030eec07b64dd98edea9987bbbee,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:12:33,ddpfnhhogibgeebicainblakehdiobcj,version,Not Confirmed,3.0.0,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:12:33,ddpfnhhogibgeebicainblakehdiobcj,sha256,Not Found,be097b94025c6e591508807fbc6dc52111976fc7238863c2429ac7c5b6f5ed8e,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:12:33,giolfdhelhkknfnplanblpbjeaiojikm,version,Not Confirmed,8.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:13:17,odbanhjffpnjgcbldodeakkmcafnhema,version,Not Confirmed,0.5.9.7,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:13:17,odbanhjffpnjgcbldodeakkmcafnhema,sha256,Not Found,20e23f31caa8d56119adebd80a780e307ca75fa92f5cb09949c098f249b13bbb,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:14:24,fmhjcgenmdfimclabejelnekafngjlia,version,Not Confirmed,1.4.4.84,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:14:24,fmhjcgenmdfimclabejelnekafngjlia,sha256,Not Found,e6d8f3023181b0b5902b2cb32bbced59dacf750f589215163264e690b86a8b50,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:14:28,cnkcgoiimpncbonlilkekbigfhchcbgb,version,Not Confirmed,1.24.905,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:14:28,cnkcgoiimpncbonlilkekbigfhchcbgb,sha256,Not Found,4d7bc3bad4a4b193e9570af0a89d28d521aa43f172aa72f81f41f83cbdcab58f,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:14:44,gbnlpokgdjhoogmbadopaojnepbjjefn,version,Not Confirmed,5.0.2,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:15:05,fpopfchojdfnaoolfpnpbkancfpbjold,version,Not Confirmed,1.26.513,High,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:15:05,fpopfchojdfnaoolfpnpbkancfpbjold,sha256,Not Found,ac999a85e8f3a324455c8aadd7603f8942d8a3cbd2631ea77a177fd9783ff4f0,High,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:15:21,eliokoocofjemjjohafbmhmgjmedomko,version,Not Confirmed,4.0.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:15:33,dpkijnoebmekoiafbkledpjhkpgllkfe,version,Not Confirmed,1.1.2,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:15:48,golbngjhpfdobdopaebpdofbmhghfkpm,version,Not Confirmed,0.1.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:15:53,hblfamjdifnhiioifbfamlnkjfenhfed,version,Not Confirmed,2.4.0.0908,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:00,condlopdddofpgcdjfnoepbdkcgckmgb,version,Not Confirmed,1.0,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:14,dpmdoefacegagjoifomgchhhppgdkaco,version,Not Confirmed,2.1.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:31,aaiolimgbncdaldgbbjkidiijidchhjo,version,Not Confirmed,4.3.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:32,gabfmnliflodkdafenbcpjdlppllnemd,version,Not Confirmed,1.1.0,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:40,pbdgglfabhmhpbfgakckfhdbhjiedmnm,version,Not Confirmed,1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:45,kihfdgpnhlkopkiadeopobhbpeplffam,version,Not Confirmed,2.1.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:52,ipijpioemaopkhpjhihdibldodmdpfjl,version,Not Confirmed,1.6.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:16:54,pgabmkcldlelbhcookaealohoeknnapn,version,Not Confirmed,1.0.15,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:04,ceibjdigmfbbgcpkkdpmjokkokklodmc,version,Not Confirmed,1.0.245,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:13,egmlbimojingfmchokcniklnhnecdecf,version,Not Confirmed,2.0.3,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:19,mmpfmolbdhdfoblfggigchncdgmdnjha,version,Not Confirmed,5.17.26,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:20,lepdjbhbkpfenckechpdfohdmkhogojf,version,Not Confirmed,18.9.6.1646,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:21,meobjhkdifjealkiaanikkpajiaalcad,version,Not Confirmed,1.4.25,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:22,okepehobneenpbhiendcjcanjodhmcbj,version,Not Confirmed,1.1,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:22,okepehobneenpbhiendcjcanjodhmcbj,sha256,Not Found,6842a6a435e748fe30cdcfd04b17db4812a85aa57e880dbe60ba2dcc55ae4be9,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:26,kfokdmfpdnokpmpbjhjbcabgligoelgp,version,Not Confirmed,1.1.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:29,fmiefmaepcnjahoajkfckenfngfehhma,version,Not Confirmed,5.22.29,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:29,fmgaogkbodhdhhbgkphhbokciiecllno,version,Not Confirmed,20.5.20.1107,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:33,dkbpkjhegfanacodkmfjeackckmehkfp,version,Not Confirmed,18.8.24.1744,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:33,djkddblnfgendjoklmfmocaboelkmdkm,version,Not Confirmed,1.0.7,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:33,dijcdmefkmlhnbkcejcmepheakikgpdg,version,Not Confirmed,1.3.0,High,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:35,eijnkinhnplaekpllmgbbfieecdhcmcp,version,Not Confirmed,1.2,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:35,eijnkinhnplaekpllmgbbfieecdhcmcp,sha256,Not Found,5588f8f53296820bd47b48ab8a6a415683c6a07a5d0e339c433d6a40d4e568db,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:40,agepkkdokhlaoiaenedmjbfnblfdiboc,version,Not Confirmed,6.4.18.30,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:17:48,dbfmnekepjoapopniengjbcpnbljalfg,version,Not Confirmed,11.0.43,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:48,dbfmnekepjoapopniengjbcpnbljalfg,sha256,Not Found,92634f28a8c8aa9ff6d3dd4ad99e6a005583323ef3ac82e09f5d34c77dd26cd8,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:53,pnmmfplemkekboaalbeeajfidkkepppl,version,Not Confirmed,1.0.1,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:53,pnmmfplemkekboaalbeeajfidkkepppl,sha256,Not Found,9cf140efa0e03e7cd059c421a2421d8b093a01ea9589fa0ba19a0f0cfc3e5639,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:54,nfijbcmjagdmmkchgicfdidblofopkdp,version,Not Confirmed,0.5.9.9,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:54,nfijbcmjagdmmkchgicfdidblofopkdp,sha256,Not Found,75d74c275201b7db091cbc8a31454376bc0ec893d5d510ae45adc8c3d78c58f3,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:58,gpibachbddnihfkbjcfggbejjgjdijeb,version,Not Confirmed,0.7.1,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:17:58,gpibachbddnihfkbjcfggbejjgjdijeb,sha256,Not Found,35c5c18c4fa890ea0df64ba1446789bbd7c694fb118597b1b0ece3d206f29c6f,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:18:04,eagiakjmjnblliacokhcalebgnhellfi,version,Not Confirmed,19.7.22.1059,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:18:25,jbnopeoocgbmnochaadfnhiiimfpbpmf,version,Not Confirmed,1.0.0,Medium,declared capability only (archived manifest — extension delisted)
2026-08-29T10:18:28,ibiejjpajlfljcgjndbonclhcbdcamai,version,Not Confirmed,18.12.19.1401,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:18:59,ihbiedpeaicgipncdnnkikeehnjiddck,version,Not Confirmed,2.0.6.6,Medium,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:08,anlhakiodmebohjmkbciohpglnjifjaa,version,Not Confirmed,3.0.0.0,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:09,ngahaphlngmdfhbhkplbglnfhehnpgdb,version,Not Confirmed,6.0.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:09,foiopecknacmiihiocgdjgbjokkpkohc,version,Not Confirmed,1.0.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:09,ibibeegnncapfdcgpdnnbjbbojglhlmk,version,Not Confirmed,1.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:09,bibjcjfmgapbfoljiojpipaooddpkpai,version,Not Confirmed,1.5,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:26,gdocgbfmddcfnlnpmnghmjicjognhonm,version,Not Confirmed,3.0.9,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:26,bpconcjcammlapcogcnnelfmaeghhagj,version,Not Confirmed,9.3.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:28,fbcgkphadgmbalmlklhbdagcicajenei,version,Not Confirmed,4.3.4,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:28,nlgphodeccebbcnkgmokeegopgpnjfkc,version,Not Confirmed,4.0.9.2,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:28,deljjimclpnhngmikaiiodgggdniaooh,version,Not Confirmed,2.2.0.3,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:29,hmooaemjmediafeacjplpbpenjnpcneg,version,Not Confirmed,1.3.12.3,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:30,jdjldbengpgdcfkljfdmakdgmfpneldd,version,Not Confirmed,3.2.3.6,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:31,pajkjnmeojmbapicmbpliphjmcekeaac,version,Not Confirmed,26.5.2,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:31,pajkjnmeojmbapicmbpliphjmcekeaac,sha256,Not Found,fdd1eaee67b44d3e998437fe00ef1f5c549d08179f93daa2cc931febf2518886,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:31,gaoflciahikhligngeccdecgfjngejlh,version,Not Confirmed,1.2.8,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:32,mdaboflcmhejfihjcbmdiebgfchigjcf,version,Not Confirmed,1.2.3,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:32,fedimamkpgiemhacbdhkkaihgofncola,version,Not Confirmed,1.7,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:35,lkalpedlpidbenfnnldoboegepndcddk,version,Not Confirmed,1.2.2,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:35,lkalpedlpidbenfnnldoboegepndcddk,sha256,Not Found,cf0b3901130554c0c89fee488d5096c0d520a959a5dcd5fbec9b7c7f745f1813,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:36,ogbhbgkiojdollpjbhbamafmedkeockb,version,Not Confirmed,1.3.8,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:19:37,ihfedmikeegmkebekpjflhnlmfbafbfe,version,Not Confirmed,1.1.6,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:37,ihfedmikeegmkebekpjflhnlmfbafbfe,sha256,Not Found,365259a4ffa7067a06c7c0ba5e62f21c49164896500085f47c9daf5b8513fd79,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:38,ekafoahfmdgaeefeeneiijbehnbocbij,version,Not Confirmed,0.0.2.010,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:38,ekafoahfmdgaeefeeneiijbehnbocbij,sha256,Not Found,59c0085c7d42a25ca3836d77f9f71f693ce8161cae69e99689a184c0d56ecd71,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:38,ibbkokjdcfjakihkpihlffljabiepdag,version,Not Confirmed,1.3.4,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:19:38,ibbkokjdcfjakihkpihlffljabiepdag,sha256,Not Found,0372e743fc8bddcb7cb5150a05de81c1675a182cc058350282aab3184476fa13,Medium,XGBoost + Isolation Forest (sandbox unavailable)
