extension_id,name,manifest_version,permissions,host_permissions,has_background_script,has_content_scripts,web_accessible_res,eval_occurrences,atob_occurrences,websocket_usage,xhr_fetch_usage,keydown_listener,cookie_access,long_encoded_strings,external_urls_sample,label
abbngaojehjekanfdipifimgmppiojpl,__MSG_appName__,3,storage,(none),YES,NO,NO,0,0,0,0,YES,NO,0,http://flightschool.acylt.com | http://www.w3.org | https://clothingbrandnamegenerator.app,MALICIOUS
acaeafediijmccnjlokgcdiojiljfpbe,__MSG_appName__,3,"scripting, storage, sidePanel",<all_urls>,YES,YES,YES,0,0,0,1,YES,NO,0,https://onlineapp.stream | https://github.com | https://onlineapp.pro,MALICIOUS
acmfnomgphggonodopogfbmkneepfgnh,Bookmark Favicon Changer,3,"tabs, bookmarks, downloads, storage, webRequest, unlimitedStorage, offscreen, scripting, favicon",<all_urls>,YES,YES,YES,0,6,0,0,YES,NO,3,http://www.webtoolkit.info,MALICIOUS
adjiljljjoeielcjmafljkicjncjpbha,__MSG_appName__,3,"storage, sidePanel",(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://atomiks.github.io | http://www.w3.org | https://github.com,MALICIOUS
aecccajigpipkpioaidignbgbeekglkd,__MSG_name__,3,"storage, sidePanel",(none),YES,NO,NO,0,0,0,2,NO,NO,0,http://www.w3.org,MALICIOUS
ahlnchhkedmjbdocaamkbmhppnligmoh,Amazon Seller Assistant - 10Xprofit Amazon Seller Tools (FBA,3,"management, activeTab, storage, scripting, tabs, clipboardWrite","http://localhost:3000/*, https://www.amazon.com/*, https://completion.amazon.com/*, https://searchcrwler-b.ecomstal.com/*, https://searchcrwler-a.ecomstal.com/*",YES,YES,YES,0,0,0,6,NO,YES,0,https://lens.google.com | https://www.amazon.com | https://completion.,MALICIOUS
aikflfpejipbpjdlfabpgclhblkpaafo,__MSG_extension_name__,3,"activeTab, storage, unlimitedStorage, sidePanel, contextMenus, scripting, search",<all_urls>,YES,NO,YES,0,1,0,17,NO,YES,0,https://github.com | http://www.apache.org | http://${e}`)}if(a.tryConvertEncoding)try{e=stringToUTF8Stri,MALICIOUS
ajfanjhcdgaohcbphpaceglgpgaaohod,OmniBar AI Chat and Search,3,tabs,(none),YES,NO,NO,0,0,0,0,NO,NO,0,https://omnibar.ai | https://go.omnibar.ai | https://www.bing.com,MALICIOUS
ajfokipknlmjhcioemgnofkpmdnbaldi,Auto-join for Google Meet,3,(none),(none),NO,YES,NO,0,0,0,0,YES,NO,0,none,MALICIOUS
akdajpomgjgldidenledjjiemgkjcchc,Giant Coupons Official Extension,3,"webRequest, storage","http://*/*, https://*/*",YES,YES,NO,0,0,0,1,NO,NO,0,https://api.giantcoupons.net | https://giant.coupons,MALICIOUS
