has_webRequest,has_all_urls,has_cookies,has_clipboardRead,has_nativeMessaging,has_tabs,has_history,has_downloads,has_storage,has_background_script,has_content_scripts,host_permission_count,total_permission_count,content_script_entropy,has_webRequestBlocking,has_scripting,has_management,has_webNavigation,has_contextMenus,has_proxy,has_declarativeNetRequest,web_accessible_resources,eval_count,atob_count,function_ctor_count,xhr_fetch_count,websocket_count,exec_script_count,keydown_listener,cookie_in_code,long_string_count,hex_escape_count,external_url_count,label
NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,0,6,5.6,NO,NO,NO,NO,NO,NO,NO,NO,0,2,2,0,0,0,NO,0,0,0,6,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,0,1,5.11,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,NO,0,0,0,3,BENIGN
YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,13,5.69,YES,NO,NO,NO,NO,NO,NO,YES,0,0,2,0,0,0,NO,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,1,4.9,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,3,NO,0,0,0,2,BENIGN
NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,6,5.11,NO,NO,NO,NO,YES,NO,NO,YES,0,1,0,0,0,2,NO,0,0,0,28,BENIGN
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,0,6,5.25,YES,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,11,BENIGN
YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,7,5.36,NO,NO,NO,YES,NO,NO,NO,YES,0,1,1,2,0,0,YES,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.28,NO,NO,NO,NO,NO,NO,NO,YES,0,0,9,3,0,4,NO,2,0,0,12,BENIGN
YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,13,4.74,YES,NO,NO,YES,YES,YES,NO,YES,0,0,0,0,0,0,NO,0,0,1,7,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,2,4.63,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,0,7,5.13,NO,NO,NO,NO,YES,NO,NO,YES,0,0,0,5,0,7,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,1,5.41,NO,NO,NO,NO,NO,NO,NO,YES,0,0,6,1,0,0,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,5.36,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,YES,0,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,0,3,5.5,NO,NO,NO,NO,NO,NO,NO,NO,0,4,0,8,0,0,YES,0,1,0,25,BENIGN
NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,2,2,5.37,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,5,BENIGN
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,0,5,5.28,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,4,BENIGN
YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,5,5.34,YES,NO,NO,NO,NO,NO,NO,YES,0,1,10,4,0,0,NO,0,6,0,27,BENIGN
YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,8,5.46,YES,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,0,YES,0,0,0,17,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,4,4.97,NO,NO,NO,NO,NO,NO,NO,YES,0,0,1,0,0,0,YES,0,0,0,22,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,1,5.0,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,3,4.74,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,5,0,0,NO,0,0,0,12,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,2,5.35,NO,NO,NO,NO,NO,NO,NO,NO,0,0,2,1,0,0,YES,0,1,0,12,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,0,2,5.36,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,8,YES,0,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,5.38,NO,NO,NO,NO,NO,NO,NO,NO,0,0,2,0,0,0,NO,0,1,0,12,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,0,3,4.36,NO,NO,NO,NO,YES,NO,NO,YES,0,0,0,1,0,0,YES,0,2,0,1,BENIGN
YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,4,5.0,YES,NO,NO,NO,NO,NO,NO,YES,0,0,0,2,0,0,YES,2,0,0,93,BENIGN
YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,6,4.74,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,7,0,1,NO,8,0,0,6,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,1,4.83,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,3,BENIGN
NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,0,8,4.48,NO,NO,NO,NO,YES,NO,NO,YES,0,4,0,5,0,0,NO,2,0,0,9,BENIGN
YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,7,5.37,YES,NO,NO,NO,NO,NO,NO,YES,0,0,0,1,0,0,YES,1,0,0,9,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,2,5.1,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,NO,0,0,0,13,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,3,2,5.01,NO,NO,NO,NO,NO,YES,NO,NO,0,0,0,3,0,0,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,0,5.29,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,1,4.8,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,2,NO,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,1,5.36,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,4,4.94,NO,NO,YES,NO,NO,NO,NO,NO,0,0,0,1,0,0,NO,0,0,0,1,BENIGN
NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,5,5.49,NO,NO,NO,NO,NO,NO,NO,YES,0,1,5,0,0,0,NO,2,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,5.08,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,1,YES,0,0,0,15,BENIGN
YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,5,5.38,YES,NO,YES,NO,NO,YES,NO,NO,0,0,0,0,0,0,YES,0,0,0,2,BENIGN
YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,8,5.35,YES,NO,YES,NO,YES,NO,NO,YES,0,0,0,9,0,0,YES,0,0,0,11,BENIGN
NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,0,7,5.03,NO,NO,NO,NO,YES,NO,NO,NO,1,0,0,1,0,3,YES,10,0,0,6,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,2,4.54,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,0,3,5.44,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,0,YES,0,0,0,10,BENIGN
