extension_id,label,source
membjdlghnjabalehklnkchehfhplibj,1,malicious
kgdjeaonamhfooejllllfpeappcgfpod,1,malicious
pihogmfmhefemijkgmbimkngninbkkce,1,malicious
mdlkdelnchilkeedllnnjfigkhhadlff,1,malicious
kpnpeomoodgjlpdaopnapgdiigdkkgim,1,malicious
bdkogigofdpjbplcphfikldoejopkemf,1,malicious
nplljogcholopgphioakbdjfkbkdhomg,1,malicious
ghhanhhegklhcoffmgkdbiekfhmbfbnc,1,malicious
aijflmhdfglijpfjhoihebemdheglpgd,1,malicious
lmjjdicajpllfgekjbnnjobadadidoih,1,malicious
pinfndnjmdocmimbeonilpahdaldopjc,1,malicious
hiiahmfpljemgmnhlaepofeldnnhphmi,1,malicious
oelcnhfgpdjeocflhhfecinnpjojeokp,1,malicious
giofhmdgihebfjkdadokickedgbbglcf,1,malicious
nfodepdbkedfahdadcglakjdmopkobon,1,malicious
lnajjhohknhgemncbaomjjjpmpdigedg,1,malicious
mcbcknmlpfkbpogpnfcimfgdmchchmmg,1,malicious
glibnbcgclecomknccifdaglefljfoej,1,malicious
okphhehkikoonipdjmhglcmlgccjcblp,1,malicious
njmhcidcdbaannpafjdljminaigdgolj,1,malicious
mpidnflfogjjkchbllplcpcdoifgnjjj,1,malicious
domdcfhmjfdchcegjmnjbioejdphmnio,1,malicious
pboddlnfegdnifbhepjegnokocjpadpd,1,malicious
gcccfoehonbolcpaefopkboppjiaamkc,1,malicious
phmogllmicehmpglfobbihoelfidjnpd,1,malicious
boolceociingmfoakiaiikpcnbcbajfm,1,malicious
idkdfocppofcdgahffjbehkjiilagofm,1,malicious
micijibojadbnadckjmpgkjicelohbil,1,malicious
cmckpheolajgbmhlfhgelajhhfgjbhpk,1,malicious
eanofdhdfbcalhflpbdipkjjkoimeeod,1,malicious
haochenfmhglpholokliifmlpafilfdc,1,malicious
hdljgflalglmllbagpacjmkdiggliidk,1,malicious
lepdjbhbkpfenckechpdfohdmkhogojf,1,malicious
akhiflcfcbnheaofcaflofbmnkmjlnno,1,malicious
ieihbaicbgpebhkfebnfkdhkpdemljfb,1,malicious
oickdmhdjcdgdfcejbnhonlihonkhfkl,1,malicious
bmodhjhfenkpocdbpbijndlaefcbjkjo,1,malicious
pcjlckhhhmlefmobnnoolakplfppdchi,1,malicious
dfpbcakpogbfaohnnjlgghdjkgaoiaik,1,malicious
ccomccogicclmdabkdblhimkkoljidjb,1,malicious
nbblafbmmogmlhejjondcclcgbkdmjln,1,malicious
blfehknobghonbjigahfbmmjecooeeja,1,malicious
dehindejipifeaikcgbkdijgkbjliojc,1,malicious
dcllajlpjeaobemjcplencinnjdkefkc,1,malicious
akmdionenlnfcipmdhbhcnkighafmdha,1,malicious
dckadbanpeemhkphnnllamgolhbbbebi,1,malicious
meccdflhmmmohgicamalaakjifgapefn,1,malicious
gdnhbhfhnjcfhakagfdeeblhnpjcfjnn,1,malicious
