label,md5,sha1,sha256,size,type,mimetype,name,crc32,sha512,ssdeep,path,score,category,duration,started,ended,added,cuckoo_id,cuckoo_ver,route,machine,platform,manager,signatures_count,signatures_max_sev,processes_count,generic_count,calls_count,dns_count,http_count,https_count,tls_count,hosts_count,domains_count,pcap_sha256,sorted_pcap_sha256,irma_status,irma_scan_date,irma_probes_total,irma_probes_finished,irma_detected_count,irma_av_total,vt_positives,vt_total,vt_scan_date,vt_detected_count,snort_alerts,suricata_alerts,dropped_count,strings_count,misp_count,intelmq_count,vt_md5,vt_sha1,vt_sha256,vt_scan_id,vt_resource,vt_response_code,vt_permalink,vt_verbose_msg,vt_engines_total,vt_engines_detected,vt_engines_undetected,vt_detection_ratio,vt_results_unique_count,vt_updates_latest,vt_updates_earliest
benign,0045b81277a42720bd98cca8630a8116,301cea73d5265ae20e28327499de23dd5bf3ad5a,5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057,235350,"Google Chrome extension, version 3",application/x-chrome-extension,extension_3_0_0_0 (4).crx,5FB686EE,8e7ac2f63c8974c9736d86b9adb95e3afa0ce098f6f9cd78e49a820505b30b2c263d41982d8e9541ba087116b9d7b7ca755969aa0f7e7b6721b68ec577d6ff53,6144:XjQXOzzfo5pAaeYWjSQAlaXmO6VdWU8V+GlrdG0:ToO3oLeYWjSQd2OOdXZGl5G0,/srv/cuckoo/cwd/storage/binaries/5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057,0.1,file,621,1647744860,1647745482,1647713172,2870401,2.0.7,internet,win7x648,windows,VirtualBox,1,1,3,3,400,0,0,0,0,0,0,cdf4b3eb410b3bcb0fa835bdc3cf9845d77cb268d1ae78c9e1433d1288a05e79,d148d0b4d516b02cba7dc28b36a91fb7baaa69ffc2c93c1f4de939155844a0c8,0,1647738283,16,16,0,System.Object[],,56,26/03/2022 12:48,0,0,0,0,611,0,0,0045b81277a42720bd98cca8630a8116,301cea73d5265ae20e28327499de23dd5bf3ad5a,5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057,5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057-1648298907,5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057,1,https://www.virustotal.com/gui/file/5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057/detection/f-5369533351ad5b4cc37a9c8f83a88389893346bbf29646df1b8216861809f057-1648298907,"Scan finished, information embedded",56,0,56,0,0,20220326,20190318
benign,00706073127aff5996a9eb5315e8febb,990520a6f893c52a8f6222a973aa2a681821ebdc,f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4,32831,"Google Chrome extension, version 3",application/x-chrome-extension,extension_0_1_6_0.crx,85F2EBAA,5bfde72fc90a337717b7892e5c97adae73419f72b1f8bf54217948a89b5cd8f054f1cacc319a35754ad54c816bb60174f2af54e4307646b09da741a95b9569a9,,/srv/cuckoo/cwd/storage/binaries/f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4,,file,711,1647724978,1647725690,1647711729,2869982,2.0.7,internet,Ubuntu1904x643,linux,VirtualBox,0,,1,1,8,0,0,0,0,0,0,6f531fa3e74f3ec4b2a527b00153a246425d36c21eee6e1996d9967bd34c9f2d,3430fc5b265df21e506ef1a801822507b5574e0647b02141c858d719c90bf315,0,1647718490,16,16,0,System.Object[],,57,25/03/2022 16:13,0,0,0,0,78,0,0,00706073127aff5996a9eb5315e8febb,990520a6f893c52a8f6222a973aa2a681821ebdc,f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4,f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4-1648224799,f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4,1,https://www.virustotal.com/gui/file/f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4/detection/f-f37b5b0b4ad4f5c24b7ff7a528e09423398c331d2e06871d958dc0d1904f05a4-1648224799,"Scan finished, information embedded",57,0,57,0,0,20220325,20190318
benign,00b009b518cbdfd47dc706253fdfb39b,010a9878be64b5234981978a779342e69cbfe3e0,821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29,3196853,"Google Chrome extension, version 3",application/x-chrome-extension,extension_2_9_0_5976.crx,BABAF245,af4da2f4fb9ea9ea801ac53f9092a2078f2d2e750c3a4cbd61a18a7b830f57a0beab0ca7314f39f84e4afcbdcf702120be5bb319cc8c1e86bb26d6cf693e3fcb,98304:f5tetBBLkaKROOhHj+5yWtOVBeIswtFcE51HJU:fPetBFZKROOhHjxWtfQN1K,/srv/cuckoo/cwd/storage/binaries/821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29,0.3,file,622,1647744349,1647744971,1647713170,2870377,2.0.7,internet,win7x643,windows,VirtualBox,2,1,3,3,400,0,0,0,0,0,0,931591b3d7b546f7a1c27fc416de2cc3607212a59de625f7656ad901c7a87422,189bafff77eedcaba4bcc6f21dd18230217dd6132285ac4c937f3604c01e8555,0,1647737774,16,16,0,System.Object[],,55,25/03/2022 18:29,0,0,0,0,2048,0,0,00b009b518cbdfd47dc706253fdfb39b,010a9878be64b5234981978a779342e69cbfe3e0,821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29,821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29-1648232954,821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29,1,https://www.virustotal.com/gui/file/821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29/detection/f-821881ee261e58f93115c0c48b5e6104fc32539f81e707246c1fd35898e18f29-1648232954,"Scan finished, information embedded",55,0,55,0,0,20220325,20190318
benign,0105acad161010abddaf3e8bfca1f736,bdb9e9b5c7ba737056830442c1f57f1170247fbf,432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6,152618,"Google Chrome extension, version 3",application/x-chrome-extension,extension_0_8_0_0.crx,A64E8F24,41777cf49352571d207b725a87e24b5589c599ea7d7b47d163d335bb980d61bed837dd8e2c03dd13991dd99fb08885a38f204b5e21ed4247b6f7ffc092ca2b92,3072:GmQJhk2Is7tzKXGdPs6BBcjkGhDnUlI/USHhgw6hX0bBk:GmKiYtzKXGhs/jpr/9qQS,/srv/cuckoo/cwd/storage/binaries/432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6,0.1,file,638,1647719702,1647720341,1647710771,2869701,2.0.7,internet,win7x6421,windows,VirtualBox,1,1,3,3,400,0,0,0,0,0,0,3c161e1790d0806bfc15bec6862c289018881ac47c267ebaefecd3ae59fa1d80,8242f37331d209cac5a70d39219e314e88fde08f90fef16c618c241e21d8155b,0,1647713143,16,16,0,System.Object[],,53,25/03/2022 17:38,0,0,0,0,352,0,0,0105acad161010abddaf3e8bfca1f736,bdb9e9b5c7ba737056830442c1f57f1170247fbf,432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6,432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6-1648229895,432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6,1,https://www.virustotal.com/gui/file/432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6/detection/f-432d2f791b23ed4acaf42f584a6c5b8da8a23abe5ce9c59a4c14b4c905a287a6-1648229895,"Scan finished, information embedded",53,0,53,0,0,20220325,20190318
benign,0120732244fe608a080550f3b509917b,6f2b8163d15d9849a0b3d05c04b35de9ca1dbe9a,0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53,22005,"Google Chrome extension, version 3",application/x-chrome-extension,extension_0_12_0_0 (1).crx,63B986ED,56e4b61152aaa11f5739073af9c7c97bb22e24c589f424355487381ebdad4f1f934b70b7eae496cffca006e8c3b5a24af875591b94d1d169df96bffe8f1a2539,,/srv/cuckoo/cwd/storage/binaries/0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53,0.1,file,618,1647720296,1647720914,1647710773,2869728,2.0.7,internet,win7x6422,windows,VirtualBox,1,1,3,3,400,0,0,0,0,0,0,67f7f539908071c3166d67bced954a98ed3da9a7adb3bc68f10c0c5d371087f3,4c6e08866bc8409ff9d4212c973245c0a275e5a5e345f1d7f34d70a4ea695845,0,1647713715,16,16,0,System.Object[],,53,25/03/2022 15:54,0,0,0,0,79,0,0,0120732244fe608a080550f3b509917b,6f2b8163d15d9849a0b3d05c04b35de9ca1dbe9a,0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53,0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53-1648223653,0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53,1,https://www.virustotal.com/gui/file/0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53/detection/f-0f43e681dc1c0b50ee5b58ab37b8e3f420ea4173ffde41984d1c3b723fed2d53-1648223653,"Scan finished, information embedded",53,0,53,0,0,20220325,20190318
benign,014ea219e2d4268ab47912adf0a3cc47,c5d5508e6aa9938e7c51bc0344fa12535c676f74,ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90,160017,"Google Chrome extension, version 3",application/x-chrome-extension,extension_2_5_3_0.crx,D3282630,d978a6c4eae4ffdb88e5612d9480e3bd1c905e626f8677d423c989b0c484ad8b7abb70002239de0a03157a48b81a996f0e06983ddf0e882c4b6aeef406e4c32f,3072:VGF2SR7koYW2CqT4S/OViB1o1mG8Xj+mM3Oe4b:oQm75YtCqUIOYiYa3je,/srv/cuckoo/cwd/storage/binaries/ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90,0.3,file,657,1647742332,1647742989,1647713169,2870352,2.0.7,internet,win7x6420,windows,VirtualBox,2,1,3,3,400,0,0,0,0,0,0,5c78dcc14cdd1e8202c7e3c260e72c6aa8592288802739c3f45861ce029db8be,7dd5d15dee2bd65660f11c98bf52efda5de3a0041acbeab1489feeaad8f18364,0,1647735790,16,16,0,System.Object[],,57,25/03/2022 18:45,0,0,0,0,412,0,0,014ea219e2d4268ab47912adf0a3cc47,c5d5508e6aa9938e7c51bc0344fa12535c676f74,ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90,ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90-1648233920,ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90,1,https://www.virustotal.com/gui/file/ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90/detection/f-ca855e8903a48eea0f6f3f8b8846ef867a27f4fc8c1f44f2f8ab8155014a1c90-1648233920,"Scan finished, information embedded",57,0,57,0,0,20220325,20190318
benign,01c05d352857e96471d1006c19ba156e,f399bcec13daa77ccc7a3056a5cb0a15b67ec575,fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779,437098,"Google Chrome extension, version 3",application/x-chrome-extension,extension_37_0_0_0.crx,A14363A3,77ea04a096e868e3f363a4b684d9c47cc2a6b34a1e58efbcb13d9e0d6ed2040a9b0d46d75d32c38a4d601eef0cc7a340b5f34aafb62d0cb546e795068c1b4c41,,/srv/cuckoo/cwd/storage/binaries/fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779,0.1,file,667,1647753153,1647753821,1647720832,2870988,2.0.7,internet,win7x6427,windows,VirtualBox,1,1,3,3,400,0,0,0,0,0,0,c1fcbcb3ea1932c71f41b8643bc1e4e1c402d36422d62fe67505101e8c0d11b5,a8df497a1d75008cbcd98a131672fe6a438aff96631830178e443b9cf5d2fe5e,0,1647746622,16,16,0,System.Object[],,54,25/03/2022 18:25,0,0,0,0,844,0,0,01c05d352857e96471d1006c19ba156e,f399bcec13daa77ccc7a3056a5cb0a15b67ec575,fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779,fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779-1648232706,fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779,1,https://www.virustotal.com/gui/file/fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779/detection/f-fc191c3cd14cf3f8ec77d4dffafa58f295696edd8c1a4ba36461164ef50f4779-1648232706,"Scan finished, information embedded",54,0,54,0,0,20220325,20190318
benign,023e1651be0a20afd82d0abb1846b617,e4f5e397b5acdc94646771256bf2a990e9db10a7,09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8,8064091,"Google Chrome extension, version 3",application/x-chrome-extension,extension_2022_2_11462_0.crx,43748166,4aa48fe999869b5f4fc196c5bd5c17e7dcd4558156e97784ee315496b292edac7c9303021c2bd1ce5700ee9888776c62128574a48206aff6490c2748737353af,98304:ZHTkdTHdw76EeWl8JYhBLoMuUhIkClYCxAARMlVkpCJ67kOaZy0QEzG8gy4QSMdO:ZH4tHqWErftCh4mpY6PYG8eczESy9V,/srv/cuckoo/cwd/storage/binaries/09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8,0.1,file,711,1647755301,1647756012,1647720838,2871014,2.0.7,internet,Ubuntu1904x644,linux,VirtualBox,1,1,1,1,8,0,0,0,0,0,0,380a7a12571e66a8d2b189a208e371b52fed34783f59ceb0e4618966d7a45061,103fef859ee150c0b02e2039eb529321c763ca75c3dd58cc6a66950b4ea5cb6a,0,1647748814,16,16,0,System.Object[],,57,25/03/2022 20:37,0,0,0,0,2048,0,0,023e1651be0a20afd82d0abb1846b617,e4f5e397b5acdc94646771256bf2a990e9db10a7,09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8,09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8-1648240657,09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8,1,https://www.virustotal.com/gui/file/09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8/detection/f-09af2d0c7113c87bcf6d7d3fdc9c255dbd2804420b31f50eb78ff8602d8abda8-1648240657,"Scan finished, information embedded",57,0,57,0,0,20220325,20190318
benign,03462c78d547fdc83f825e35747d94ee,4259dda3b033da4c28f49d4c039958088023a848,de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044,6129805,"Google Chrome extension, version 3",application/x-chrome-extension,extension_0_1_4_9.crx,447F8E5F,cb8de80ba9e4ceccf989191b34d226aaa922146493c3e727484cf44e2f848828b43660ec0d0f98b3f1e2fa0ecfd656ae15acf85fc193b58d6fe2615a42912394,,/srv/cuckoo/cwd/storage/binaries/de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044,0.1,file,735,1647724870,1647725606,1647711728,2869978,2.0.7,internet,Ubuntu1904x645,linux,VirtualBox,1,1,1,1,8,0,0,0,0,0,0,f6d1adf187ff6bfbe789bcb4fbee0bc882a3613e2cba00720ce546208b229fb2,568af7926fa6219dfc9d4a1dc1cd4122b94d4a3192da64c30a499535f0f87328,0,1647718408,16,16,0,System.Object[],,57,25/03/2022 16:08,0,0,0,0,2048,0,0,03462c78d547fdc83f825e35747d94ee,4259dda3b033da4c28f49d4c039958088023a848,de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044,de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044-1648224505,de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044,1,https://www.virustotal.com/gui/file/de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044/detection/f-de3848a0936f0ec79c31a6de88126e30506bf0d483892821eb8938c94aa00044-1648224505,"Scan finished, information embedded",57,0,57,0,0,20220325,20190318
benign,03949cd6ab940868b9f850d28f885058,5be053c912e2f1dc1251080632daa068dcd4c3c5,0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e,2444330,"Google Chrome extension, version 3",application/x-chrome-extension,extension_1_8_3_0.crx,1A0F5960,48b96ead595eba1db57d7aa000db4dbbcd4be0413008dfa44910bcdeebd8bc319a96fc0eb3f34e09ef64e273a501b31cc727c95a0cc360f760c74e4fd5428d28,,/srv/cuckoo/cwd/storage/binaries/0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e,0.1,file,627,1647729815,1647730442,1647712091,2870139,2.0.7,internet,win7x6417,windows,VirtualBox,1,1,3,3,400,0,0,0,0,0,0,ad796f2134b7cb9ebfa341df88187c5f6dd7c9ce7192bc98817cc6e479255922,4f48d0cca39523fc890cdfc99e06effcb6adb61910b76762a63861d48c2315b2,0,1647723243,16,16,0,System.Object[],,57,25/03/2022 20:13,0,0,0,0,2048,0,0,03949cd6ab940868b9f850d28f885058,5be053c912e2f1dc1251080632daa068dcd4c3c5,0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e,0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e-1648239207,0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e,1,https://www.virustotal.com/gui/file/0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e/detection/f-0046d30508c4e5b2bd3ca4eba263fa6e7b4b54ce3b2f93743214fdd90140988e-1648239207,"Scan finished, information embedded",57,0,57,0,0,20220325,20190318
