feature,importance
host_permission_count,0.2335676
eval_count,0.051803913
has_background_script,0.051673386
has_declarativeNetRequest,0.046542924
has_nativeMessaging,0.04593943
has_management,0.045327917
has_scripting,0.04090365
web_accessible_resources,0.03582577
has_history,0.030947572
total_permission_count,0.03026006
exec_script_count,0.029632041
has_webRequestBlocking,0.028342955
hex_escape_count,0.02618566
has_content_scripts,0.025292642
function_ctor_count,0.023347855
content_script_entropy,0.02256276
has_storage,0.021327347
has_cookies,0.020222463
external_url_count,0.01861871
has_tabs,0.018261911
has_downloads,0.017035546
has_contextMenus,0.016770907
has_webNavigation,0.01640271
keydown_listener,0.016139269
cookie_in_code,0.015931731
has_webRequest,0.015642932
atob_count,0.015326509
long_string_count,0.013728533
has_all_urls,0.013296348
xhr_fetch_count,0.013138994
has_clipboardRead,0.0
has_proxy,0.0
websocket_count,0.0
