iat_cv,iat_bowley_skewness,iat_norm_mad,iat_burstiness,iat_autocorr_lag1,iat_spread_ratio,iat_clock_share,iat_entropy_norm,payload_size_mean,payload_cv,payload_repeat_ratio,upload_download_ratio,url_path_entropy,unique_path_ratio,http_post_ratio,uri_len_norm,uri_char_entropy_norm,referrer_absent_ratio,error_status_ratio,status_known_ratio,n_flows,c2_ratio,window_start_ts,label,group,family,pair
2.641518,0.878362,0.685981,0.450778,-0.166896,9751.510456,0.0,0.526802,0.0,0.0,0.888889,0.0,3.169925,1.0,0.0,1.0,0.853966,0.0,1.0,0.333333,9,0.0,1312962413.122568,0,ctu13-s1,benign,147.32.86.194->217.163.21.35
5.22614,0.989485,0.979763,0.678774,-0.035585,1446.345463,0.081633,0.928209,75.12,2.64053,0.9,0.0,5.068758,0.74,0.0,1.0,0.825612,0.0,0.75,0.24,50,0.0,1312962413.221658,0,ctu13-s1,benign,147.32.86.194->195.113.232.96
3.001991,0.984631,0.999937,0.500249,-0.065062,3170.965079,0.0,0.813265,25.4286,3.082207,0.904762,0.0,4.201841,0.904762,0.0,0.186429,0.656934,0.0,1.0,0.190476,21,0.0,1312978019.326473,0,ctu13-s1,benign,147.32.86.194->195.113.232.96
0.724998,0.14284,0.799807,-0.159422,-0.534332,2.240099,0.040816,0.824992,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312962413.443575,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.718403,0.250053,0.600125,-0.163871,-0.530788,2.040063,0.061224,0.874299,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312962642.578528,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.660893,0.333291,0.600035,-0.204171,-0.454227,2.199825,0.163265,0.877294,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312962875.840508,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.722685,-0.142664,0.500238,-0.160979,-0.503584,1.866854,0.102041,0.87127,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312963116.349594,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.729702,0.46021,0.749871,-0.156268,-0.558433,3.000038,0.061224,0.884853,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312963364.171513,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.626259,0.330315,0.401653,-0.229817,-0.47745,2.197755,0.061224,0.88243,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312963596.570896,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.672472,0.334387,0.599638,-0.195835,-0.498179,2.201532,0.081633,0.886569,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312963839.51698,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.784906,0.334419,0.749946,-0.120507,-0.514434,2.750269,0.040816,0.82397,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312964080.029821,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.713474,0.142097,0.600459,-0.16722,-0.54518,2.276877,0.102041,0.885085,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312964309.970808,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.688935,-0.001322,0.600339,-0.184178,-0.59615,2.197805,0.061224,0.853376,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312964557.790178,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.722381,0.142695,0.600988,-0.161183,-0.432804,2.199818,0.040816,0.866187,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312964804.797433,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.794177,0.112916,0.798803,-0.114717,-0.477082,2.417998,0.081633,0.865211,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312965050.993706,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.670497,0.426897,0.59832,-0.197249,-0.532858,2.038621,0.061224,0.883501,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312965285.001897,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.728756,0.250156,0.798989,-0.156901,-0.531036,2.199995,0.020408,0.86369,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312965535.259616,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.681385,0.426214,0.598528,-0.189495,-0.478542,2.197202,0.081633,0.841205,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312965776.583177,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.672369,0.143566,0.600059,-0.195908,-0.572459,2.199269,0.061224,0.878164,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312966019.52603,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.661519,0.198234,0.598493,-0.203718,-0.482686,2.197808,0.102041,0.818673,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312966260.846781,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.654505,0.333495,0.599958,-0.20882,-0.574532,2.200178,0.040816,0.880688,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312966494.041556,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.766915,0.000262,0.799911,-0.131917,-0.507404,2.400081,0.040816,0.806273,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312966733.768297,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.732597,0.142937,0.600183,-0.154336,-0.509373,2.19995,0.081633,0.9247,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312966971.026218,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.656487,0.19998,0.599973,-0.207374,-0.483697,2.199979,0.061224,0.848498,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312967216.40982,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.652643,9e-05,0.500017,-0.210183,-0.588868,1.833328,0.081633,0.862394,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312967458.542913,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.703151,0.333334,0.799948,-0.174294,-0.530935,2.20092,0.040816,0.852603,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312967701.488794,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.721839,0.250205,0.799861,-0.161549,-0.486176,2.400139,0.061224,0.845941,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.02,50,0.0,1312967943.656984,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.72724,0.249868,0.799925,-0.157917,-0.506712,2.239981,0.061224,0.84634,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.02,50,0.0,1312968192.302438,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.714947,0.142769,0.79985,-0.166217,-0.503567,2.240142,0.122449,0.829415,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312968432.810438,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.728955,-0.333044,0.500116,-0.156768,-0.533225,2.166724,0.142857,0.845684,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312968668.443245,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
