timestamp,host,label,score,verdict,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms,requests_per_hour,payload_size_mean,payload_size_std,http_post_ratio,avg_idle_time_ms,user_active_ratio,background_tab_ratio,extension_origin_ratio,url_path_entropy,request_burst_count
,ctu-20110818,1,1.0,BEACON,21.0,62270.849609375,0.0,0.0,0.0,60.702560246277955,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110818,1,1.0,BEACON,22.0,3789.4305274600074,0.0,0.0,0.0,995.249429722755,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-80,0,0.0,SAFE,30.0,3974.708724,1.2225119970828835,0.0,0.0,936.9587030159564,42.3,151.9427382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110815,1,1.0,BEACON,6.0,261.89301013946533,0.0,0.0,0.0,16495.285604222423,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,13.0,166.6109167,3.3779173150663064,0.0,0.0,23407.829919107942,202.3076923,355.9891652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,10.0,15.695222549968294,0.0,0.0,0.0,254854.6213515195,227.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-63513,0,0.0,SAFE,6.0,2129.2822,2.233141352987406,0.0,0.0,2028.8527279286886,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,303.0,66.12433775000001,10.044785638703805,0.0,0.0,54623.16376683501,1125.551155,1196.52724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,3.0,125.48,0.9615818210073319,0.0,0.0,43034.74657315907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-80,0,0.0,SAFE,4.0,1674.791667,1.721899328628556,0.0,0.0,2866.028112949372,3.0,3.286335345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,8.220333333000001,1.7268909452871695,0.0,0.0,583917.9270913588,67.0,26.83840532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110815,1,1.0,BEACON,6.0,261.70780658721924,0.0,0.0,0.0,16506.95887270094,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,9646.83466666667,1.7265293185142452,0.0,0.0,497.57253709195936,80.25,12.9884564133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4456.5749168396,0.0,0.0,0.0,1211.6928584764898,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,116.0,12.191634592802629,0.0,0.0,0.0,297852.13132698706,866.8534482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-9091,0,0.0,SAFE,4.0,0.005666666667,1.1345471482273795,0.0,0.0,847058823.5294117,4.5,2.19089023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4504.98628616333,0.0,0.0,0.0,1198.671795424911,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4506.441593170166,0.0,0.0,0.0,1198.284697217442,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.062,0.4051566672580645,0.0,0.0,77419354.83870968,54.25,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,16.0,405.229266666667,3.165477584569128,0.0,0.0,9476.117141259458,312.3125,468.209150726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4507.000923156738,0.0,0.0,0.0,1198.1359871161949,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,74.0,1589.593562,2.291722639098107,0.0,0.0,2295.7535539583523,544.8783784,849.1013197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,10.0,13000.0,1.9846153846153847,0.0,0.0,306.99297245331593,32.2,23.20814904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110815,1,1.0,BEACON,3.0,4506.643772125244,0.0,0.0,0.0,1198.2309392635814,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.08233333333000001,1.2148380279844064,0.0,0.0,58299595.14170041,94.25,47.10413995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-8080,0,0.0,SAFE,3.0,4501.611,0.47113905799501554,0.0,0.0,1199.5705537417605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4506.709575653076,0.0,0.0,0.0,1198.213443611457,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4506.461143493652,0.0,0.0,0.0,1198.2794987140683,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,6.0,206.13861083984375,0.0,0.0,0.0,20956.77264147452,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110819,1,1.0,BEACON,4.0,780538.1673177084,0.0,0.0,0.0,6.1496031853189566,236.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,30.0,1053.967103,2.9277071051049686,0.0,0.0,3533.447978452249,247.6333333,456.9657572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
