label,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms
1,19,65845.1683,0.640353,0.556131,5539.934
1,5,135314.1322,0.741343,0.072695,72624.0125
1,12,106361.332,0.184428,-0.620321,3848.059
1,13,99998.9315,1.001799,0.930796,12817.7785
1,35,17396.1796,0.301823,-0.779926,2375.288
1,11,110571.5405,0.051122,0.215361,3243.16
1,9,149814.6557,0.736426,-0.000752,110519.6815
1,6,85831.9688,0.5535,-0.158119,30744.447
1,45,27247.5446,0.846252,0.095647,9892.7145
1,9,13595.4754,0.811419,0.199054,9476.012
1,20,62996.9247,0.969274,0.470952,5991.279
1,10,131812.4326,0.31254,0.103905,3698.934
1,20,61228.2516,0.630139,0.790759,2174.501
1,14,84170.2551,0.899898,0.837304,6972.337
1,11,112850.2239,0.03478,-0.085611,2948.6195
1,15,83911.6072,1.474137,0.268293,2733.5575
1,9,22379.997,0.104265,0.071594,1338.0865
1,18,68434.6939,0.315079,0.988866,20.221
1,20,62550.3091,0.061501,0.787069,7.711
1,10,57519.0477,0.263506,0.282885,10836.509
1,9,126961.182,1.045235,0.752691,22832.445
1,8,166479.9421,0.675422,-0.987047,2847.341
1,19,66492.7802,0.703665,0.450343,6629.0795
1,16,63961.8035,0.541395,0.710774,6000.53
1,9,149928.8106,0.752419,-0.010759,112596.332
1,28,44315.9441,0.710053,0.999738,249.078
1,16,76537.2019,1.006499,0.308339,26613.561
1,11,115132.1312,0.048033,0.68582,3784.1955
1,5,19697.1018,1.196316,0.597864,5214.4255
1,11,110457.2472,0.244421,-0.442737,5375.2795
1,24,50886.4465,0.343592,0.143368,13331.356
1,23,52702,0.420438,0.585016,5012.7015
1,11,115362.1249,0.026007,0.204522,1293.791
1,20,63141.4005,0.912157,0.683151,12839.532
1,7,80332.8233,0.419271,-0.75553,10681.8445
1,19,63866.8415,0.056617,-0.834647,2778.9885
1,19,59334.1814,0.463228,-0.238577,9727.089
1,30,16240.4797,0.242035,-0.256351,3136.638
1,11,117733.3168,0.047373,0.051131,4494.976
1,18,70173.5375,0.880951,0.693666,5801.48
1,5,265078.5405,0.703567,-0.026411,175511.0525
1,20,60642.2134,8.3e-05,0.580359,3.178
1,23,54527.4624,0.40788,0.079206,9398.3795
1,31,39197.8155,0.51103,0.935792,9027.991
1,20,62092.8336,0.02763,0.993081,15.431
1,10,121125.9197,0.022373,-0.178505,2046.109
1,18,63478.3736,0.941754,0.677635,6511.689
1,20,51130.7506,0.674026,0.055456,25179.948
1,9,33055.2127,0.000607,0.096631,0.267
1,11,110341.6115,0.085223,0.221427,3453.2285
1,20,62096.1174,0.056121,-0.290161,9.296
1,24,50520.1155,0.410107,0.603073,2924.293
1,13,99997.2235,1.165035,0.667287,43385.379
1,10,126060.2138,1.268094,-0.094473,23236.275
1,23,51598.9536,1.422301,0.23097,3619.3575
1,20,61780.3393,0.022211,0.995505,16.236
1,11,116022.1732,0.040299,-0.035853,2941.3275
1,11,115510.244,0.049661,0.337205,2103.7515
1,20,62347.8859,0.044295,0.996191,11.793
1,8,119844.4066,0.85677,0.395869,36753.04
1,17,59928.7506,1.447661,-0.892217,55573.0805
1,21,58032.5134,0.625546,0.337948,3805.159
1,8,133879.8324,0.838853,0.976437,5090.614
1,11,108048.2759,0.240779,0.373184,2511.8345
1,23,54509.7695,0.696632,0.684929,4537.229
1,7,3868.4317,0.742474,0.277841,1491.8125
1,5,13978.9698,0.618882,-0.154902,5905.818
1,20,62887.7369,0.067304,-0.345294,70.925
1,8,133491.1681,0.844263,0.976498,5165.083
1,18,66382.1265,0.928023,0.202408,4790.389
1,9,149806.627,0.757945,-0.002366,112880.7325
1,14,30053.1862,2.321081,0.748386,4568.434
1,22,55312.326,0.598157,0.745942,1950.273
1,11,114837.744,0.049575,0.05654,1929.431
1,11,113034.1054,0.037501,0.366422,3596.9045
1,20,60862.6824,0.000102,0.796774,2.705
1,31,39769.4216,0.451582,0.935757,6904.6995
1,20,60863.5829,0.000106,-0.685851,2.176
1,14,32793.128,2.146615,-0.111609,9532.452
1,24,50456.8862,0.215284,-0.411057,11396.744
1,7,121905.1267,0.692207,0.951493,3779.432
1,16,34945.1174,0.107237,0.997235,0.556
1,26,46938.8257,1.470896,0.802779,902.15
1,16,76999.717,1.565333,0.720713,602.166
1,12,108529.3029,0.231548,0.615322,1446.92
1,10,89841.0131,0.606097,-0.92725,2865.636
1,20,60641.6457,9.7e-05,0.757573,7.055
1,35,35084.4774,0.378443,0.942122,7996.463
1,33,36259.87,0.488281,-0.524983,5297.927
1,11,111924.9773,0.072616,-0.310422,2060.7525
1,8,82931.8646,1.501929,0.894117,2035.254
1,15,84407.4026,1.476,0.808411,910.588
1,20,62160.4142,0.050019,0.257893,10.857
1,60,20089.7676,0.382521,-0.360854,2909.93
1,10,53507.0744,0.33567,0.679473,2904.207
1,20,62307.7083,0.420181,-0.043336,15297.48
1,12,85485.5156,1.110658,0.814994,9577.967
1,5,50730.8198,0.238111,0.01503,11671.425
1,19,63403.3269,0.058034,0.93907,105.9295
1,18,68090.2781,0.961562,-0.178493,4215.152
1,16,73135.8487,0.890698,0.551622,8248.012
1,21,55282.1843,0.667645,-0.169637,5808.4025
1,20,58404.6712,0.504699,0.554277,5328.665
1,20,60640.6578,9.2e-05,0.807516,1.475
1,19,53989.6852,1.524613,0.451243,2597.4155
1,23,34809.1171,0.240595,-0.37411,1449.605
1,23,53527.188,0.46569,0.443629,12962.1065
1,8,102154.1813,0.148421,-0.62775,4066.243
1,5,54368.5915,0.22361,0.192456,7453.263
1,25,49919.9189,0.315539,0.663251,3541.0875
1,10,130393.738,1.234723,0.718052,41959.388
1,11,90020.6421,0.988732,0.492547,31216.5685
1,11,117590.7179,0.066436,-0.294716,2342.1715
1,11,114560.1109,0.09022,0.642285,3278.8555
1,14,29489.9782,2.724749,0.322826,2882.822
1,7,192165.9798,1.320698,0.173613,76075.91
1,11,119007.9657,0.02553,-0.43621,2424.333
1,11,115693.5652,0.079041,0.352743,2068.8325
1,7,4742.1962,0.786614,0.419665,2171.6885
1,22,57054.268,0.672,0.558415,4533.254
1,19,64272.8583,0.697353,0.683773,4649.3095
1,14,90496.7492,1.019354,0.763241,4676.651
1,22,56035.2789,1.591306,0.573543,3310.687
1,11,109288.3916,0.222979,-0.277796,3089.263
1,17,74994.1413,0.935294,0.495152,10813.3215
1,9,15411.733,1.21137,0.01393,6305.08
1,22,18586.7158,0.39937,0.199618,4988.209
1,20,62762.9623,0.063924,0.400854,9.959
1,20,62907.2156,0.930542,0.391926,5806.202
1,11,46097.5986,0.119833,-0.057976,1814.9455
1,11,48340.9272,0.153806,0.297782,4942.693
1,20,60974.8062,0.023121,0.884702,9.09
1,20,61587.8423,0.045607,-0.302451,9.7
1,19,66604.4696,0.903015,0.6115,7868.6415
1,12,109029.4408,0.910068,0.988609,17749.187
1,19,64076.4837,0.078784,0.989144,37.4475
1,20,62623.1213,0.917616,0.347192,3199.33
1,8,35708.7186,0.119165,0.999839,0.756
1,11,111753.3474,0.035823,0.308812,2438.0955
1,12,105747.8275,0.890758,0.346397,20922.047
1,10,120760.8406,0.03421,-0.274827,3023.477
1,8,152093.4867,0.768623,0.445148,113760.763
1,20,62119.2185,0.057263,-0.656941,8.872
1,20,54996.0648,1.397048,0.696558,6103.424
1,18,68247.2797,0.693574,0.39373,6160.29
1,8,134063.8527,0.837995,0.99502,5129.406
1,25,49769.8477,0.33052,0.497932,4029.0605
1,7,164411.146,1.416781,0.991148,5.4425
1,14,30403.3576,2.637767,0.324966,3126.638
1,9,149970.1302,0.754988,-0.000646,113353.495
1,9,13927.6561,1.014208,0.010653,6181.438
1,8,171421.8219,0.994901,0.726263,37800.244
1,13,99871.2163,1.026145,0.820719,20509.019
1,11,109997.1993,0.130452,-0.395608,3799.2155
1,18,55594.7978,1.539774,0.812782,19828.513
1,9,13856.2346,0.774181,0.028654,9968.217
1,9,149992.2474,0.780014,0.756939,35648.6395
1,11,111291.2979,0.071707,-0.124165,3000.5475
1,9,149998.86,0.755644,-0.000174,112968.1645
1,8,100513.0826,0.639972,-0.805579,50536.681
1,20,62597.3545,0.046644,0.993729,10.027
1,11,15641.6929,0.297818,-0.218061,4667.3925
1,10,38438.9969,2.481717,0.354598,2889.769
