session_id,phase,label,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms,requests_per_hour,payload_size_mean,payload_size_std,http_post_ratio,url_path_entropy,request_burst_count
dr09rk5eagjuu87gedvdqmq3gl,1,0,184,1382.5137,0.644354,-1.0,0.0,2618.1818,831.1522,1587.6567,0.777174,4.109121,13
gq715ms79515gcq39vf91mli6t,1,0,309,730.5195,0.963645,-1.0,1000.0,4944.0,583.7832,478.0983,0.838188,4.032348,53
hrbko2t4t14q3pahqltndlolb5,1,0,222,1375.5656,0.641017,-1.0,0.0,2628.9474,651.9459,668.3008,0.801802,4.093331,19
nvmlnfhs5v6hehsd81e9mf75cn,1,0,199,1505.0505,0.683444,-1.0,0.0,2404.0268,685.2663,791.2467,0.80402,4.062384,12
brrlh9tmiodt2ekkjvn7kcsps0,1,0,166,1539.3939,0.532792,0.0,0.0,2352.7559,808.6386,2591.0612,0.837349,4.036626,10
s74076j0vtua7ct0fkej7ehmt8,1,0,193,1609.375,0.478166,0.0,0.0,2248.5437,597.4611,599.5995,0.870466,4.022828,10
9ucesp41db4848uq9h8of7fcgd,1,0,116,1286.9565,0.700751,-1.0,0.0,2821.6216,662.7414,609.3156,0.732759,4.112079,11
k5pg7u2907cb9nk61dd8i15fm2,1,0,257,710.9375,1.148286,1.0,0.0,5083.5165,598.7393,560.6892,0.836576,4.060593,41
ajpjcn74cv2ta0boepifbre3pe,1,0,173,1162.7907,0.801623,-1.0,0.0,3114.0,911.2717,1534.8663,0.734104,4.157555,20
8h83euesdq85f0shmjm34alpln,1,0,224,1457.3991,0.604958,-1.0,0.0,2481.2308,954.5714,3009.0459,0.8125,4.057554,15
p9rb949jj3aci28mne75opl41i,1,0,158,1337.5796,0.672694,-1.0,0.0,2708.5714,655.1266,638.997,0.778481,4.106758,16
hujnm9166tof0hmoeid55a996n,1,0,187,1580.6452,0.498087,0.0,0.0,2289.7959,624.1444,676.0747,0.855615,4.025204,11
t1eo5hqdtq21m7t0gulu2henl0,1,0,177,1329.5455,0.682424,-1.0,0.0,2723.0769,788.7119,1324.6786,0.762712,4.102393,17
ufaj0lbcmqa0l022l9jan5n87l,1,0,187,1301.0753,0.697405,-1.0,0.0,2781.8182,710.7219,790.9575,0.775401,4.085887,17
q7784rh4612si6454op6l8u8vq,1,0,227,1623.8938,0.465302,0.0,0.0,2226.703,616.0925,710.545,0.867841,4.009376,13
1r170g6lqfoff21od5nn9f976a,1,0,273,1647.0588,0.454042,0.0,0.0,2193.75,618.7839,735.2618,0.886447,4.006952,15
kpedbnklnbmle61jm27kmfnkoh,1,0,213,1566.0377,0.519052,0.0,0.0,2309.6386,654.6667,775.047,0.849765,4.032248,12
4mae49mh8va4g03vjatfn6np9b,1,0,182,1408.8398,0.628137,-1.0,0.0,2569.4118,626.0989,554.5938,0.802198,4.070418,15
