n_iframes,has_fixed_iframe,max_zindex,full_viewport,drag_prevent,n_forms,n_inputs,n_pw_inputs,n_hidden_inputs,n_ext_scripts,form_ext_action,title_brand,favicon_brand,has_overlay,has_redirect,html_size_kb,label
0,0,0,0,0,2,13,0,3,0,0,0,0,0,0,59,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,2,0,1,2,1,0,0,1,1,45,0
1,0,0,0,0,3,2,0,0,18,0,0,1,1,0,93,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,0
1,0,10,0,0,2,2,0,0,1,0,0,0,0,0,125,0
0,0,99,1,0,1,2,0,0,0,0,1,0,0,0,6,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,377,0
1,0,0,0,0,1,4,0,2,2,0,0,0,0,0,280,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0
0,0,0,0,0,2,2,0,0,6,0,1,0,0,0,60,0
0,0,0,0,0,1,4,0,1,1,1,0,0,1,0,393,0
0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,12,1
1,1,1000,1,0,4,22,0,4,4,0,0,0,1,1,94,0
0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,1
0,0,0,0,0,1,2,1,0,0,0,1,1,0,1,16,1
1,1,9999,1,1,1,28,1,21,0,0,0,0,0,1,159,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
0,0,1050,1,0,0,17,0,11,2,0,0,0,0,1,109,0
0,0,0,0,0,2,11,0,1,4,0,0,0,0,0,34,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
0,0,0,0,0,1,3,1,0,8,0,1,1,0,0,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,8,29,0,21,1,0,0,0,1,0,71,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,248,0
0,0,9999,0,0,0,0,0,0,9,0,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,101,0,0,1,16,1,5,3,0,0,0,0,1,36,0
0,0,0,0,0,2,4,0,1,0,1,0,0,0,0,24,0
0,0,0,0,0,2,6,0,4,28,0,0,0,0,0,72,0
1,0,0,0,0,1,4,0,0,1,1,0,0,1,0,37,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,14,0,0,1,4,1,1,0,0,0,0,0,0,4,1
0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,21,1
0,0,0,0,0,3,14,0,6,9,1,0,1,0,0,77,0
0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,4,1
0,0,100,0,0,1,2,1,0,0,0,1,0,0,0,6,1
0,0,9999,0,0,4,16,0,8,1,0,0,0,1,1,243,0
0,0,3200,0,0,6,17,1,7,2,0,0,0,1,1,55,0
1,1,9999,1,0,3,19,0,11,21,0,0,1,1,1,417,0
0,0,0,0,0,2,6,1,1,0,1,0,0,0,1,15,1
0,0,0,0,0,1,3,0,1,0,1,0,1,0,1,2175,0
1,1,3000,1,1,1,1,0,0,3,0,0,0,0,0,165,0
0,0,1001,1,1,0,0,0,0,2,0,0,0,1,1,136,1
0,0,0,0,0,2,2,0,0,14,0,0,0,1,1,71,0
1,0,0,0,0,1,3,0,0,1,0,0,0,1,1,137,0
0,0,9999,1,1,1,8,0,1,1,0,0,0,1,1,104,0
0,0,0,0,0,1,1,0,0,18,0,0,1,0,0,154,0
0,0,0,0,0,2,5,0,1,2,0,0,0,0,1,177,1
0,0,0,0,0,1,2,1,0,3,0,1,1,0,0,6,1
0,0,0,0,0,10,71,1,67,0,0,0,0,0,1,40,1
1,1,1072,1,0,3,6,0,2,2,1,0,0,1,1,260,0
0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,16,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,182,1
5,1,9999,0,0,1,14,2,10,1,0,0,0,0,1,44,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,14,0
0,0,1000,1,0,2,9,1,5,8,0,0,0,1,0,42,0
0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,78,0
0,0,0,0,0,3,11,0,4,13,1,0,0,1,0,68,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2,1,9999,1,0,4,10,0,7,1,0,0,0,1,1,414,0
0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,63,0
0,0,0,0,0,7,60,1,18,2,0,0,0,1,0,141,0
