raw_label,class,is_background_derived,unmapped_label,occurrence_count,scenarios_seen_in
flow=To-Background-UDP-CVUT-DNS-Server,0.0,True,,8118983,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-UDP-Established,0.0,True,,5614554,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-TCP-Established,0.0,True,,2265103,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-Established-cmpgw-CVUT,0.0,True,,861786,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-TCP-Attempt,0.0,True,,726378,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-UDP-Attempt,0.0,True,,660250,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background,0.0,True,,452448,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=To-Background-CVUT-Proxy,0.0,True,,151298,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-Attempt-cmpgw-CVUT,0.0,True,,120388,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V44-Stribrek,0.0,False,,108807,3
flow=To-Background-CVUT-WebServer,0.0,True,,51039,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V49-Stribrek,0.0,False,,48588,8
flow=Background-UDP-NTP-Established-1,0.0,True,,46262,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V54-Stribrek,0.0,False,,26846,13
flow=From-Normal-V42-Stribrek,0.0,False,,18438,1
flow=From-Normal-V49-Grill,0.0,False,,18164,8
flow=To-Background-MatLab-Server,0.0,True,,17178,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V50-Stribrek,0.0,False,,15806,9
flow=From-Normal-V45-Stribrek,0.0,False,,12133,4
flow=From-Normal-V45-Jist,0.0,False,,10482,4
flow=From-Normal-V51-Stribrek,0.0,False,,10216,10
flow=From-Normal-V50-Jist,0.0,False,,9419,9
flow=From-Normal-V43-Stribrek,0.0,False,,8960,2
flow=From-Normal-V42-Grill,0.0,False,,7654,1
flow=From-Background-CVUT-Proxy,0.0,True,,6399,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-webmail,0.0,True,,5872,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-pop,0.0,True,,5648,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V47-Stribrek,0.0,False,,5488,6
flow=From-Normal-V49-Jist,0.0,False,,5463,8
flow=From-Normal-V44-Grill,0.0,False,,4580,3
flow=From-Normal-V50-Grill,0.0,False,,4432,9
flow=From-Normal-V53-Stribrek,0.0,False,,4359,12
flow=Background-google-analytics3,0.0,True,,4272,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics10,0.0,True,,4263,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics5,0.0,True,,4252,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics16,0.0,True,,4244,1;2;3;4;5;6;7;8;9;10;11;13
flow=Background-google-analytics7,0.0,True,,4166,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics8,0.0,True,,4165,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics6,0.0,True,,4074,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics14,0.0,True,,4004,1;2;3;4;5;6;7;8;9;10;11;13
flow=Background-google-analytics13,0.0,True,,3930,1;2;3;4;5;6;7;8;9;10;11;13
flow=Background-google-analytics4,0.0,True,,3907,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics11,0.0,True,,3889,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics12,0.0,True,,3853,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics2,0.0,True,,3823,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics1,0.0,True,,3823,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=Background-google-analytics9,0.0,True,,3809,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V42-Jist,0.0,False,,3808,1
flow=From-Normal-V51-Grill,0.0,False,,3728,10
flow=Background-google-analytics15,0.0,True,,3653,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V54-Grill,0.0,False,,3539,13
flow=Background-ajax.google,0.0,True,,3333,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V45-Grill,0.0,False,,2474,4
flow=From-Normal-V53-Jist,0.0,False,,2145,12
flow=From-Normal-V52-Grill,0.0,False,,2113,11
flow=From-Normal-V44-CVUT-WebServer,0.0,False,,1843,3
flow=To-Background-Grill,0.0,True,,1828,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V46-Stribrek,0.0,False,,1810,5
flow=From-Normal-V46-Grill,0.0,False,,1722,5
flow=Background-www.fel.cvut.cz,0.0,True,,1387,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V47-Grill,0.0,False,,1245,6
flow=From-Normal-V46-Jist,0.0,False,,1107,5
flow=From-Normal-V51-Jist,0.0,False,,1091,10
flow=From-Normal-V53-Grill,0.0,False,,1075,12
flow=From-Normal-V44-Jist,0.0,False,,967,3
flow=To-Background-Stribrek,0.0,True,,948,1;2;3;4;5;6;7;8;9;10;11;12;13
