L1,L2,L3,L4,L5,L6,label
0.7406,0.9271,0.0,0.0,0.0,0.0,1
0.6432,0.9648,0.9062,0.0,0.0,0.0,1
0.0507,0.0854,0.9062,0.0,0.0,0.2,0
0.1133,0.177,0.9062,0.0,0.0,0.2,0
0.1901,0.3296,0.0,0.0,0.0,0.2,0
0.3287,0.0854,0.9062,0.0,0.0,0.2,0
0.9969,0.8084,0.0,0.0,0.0,0.2,1
0.9499,0.1502,0.9062,0.0,0.0,0.2,1
0.109,0.3022,0.9062,0.0,0.0,0.2,0
0.6172,0.1576,0.9062,0.0,0.0,0.2,0
0.6424,0.8175,0.9062,0.0,0.0,0.2,0
0.9303,0.4045,0.0,0.0,0.0,0.2,0
0.0096,0.1005,0.0,0.5,0.0,0.2,0
0.9559,0.5584,0.0,0.0,0.0,0.2,1
0.2,0.082,0.0,0.0,0.0,0.2,0
0.9894,0.9804,0.0,0.0,0.0,0.2,1
0.9909,0.9994,0.9062,0.0,0.0,0.2,1
0.9997,0.9681,0.0,0.0,0.0,0.2,1
0.9745,0.982,0.0,0.0,0.0,0.2,1
0.3287,0.4302,0.9062,0.0,0.0,0.2,0
0.2,0.0737,0.0,0.0,0.0,0.2,0
0.0949,0.954,0.0,0.0,0.0,0.2,0
0.9441,0.4662,0.0,0.0,0.0,0.2,1
0.9988,0.3353,0.0,0.0,0.0,0.2,1
0.6432,0.8248,0.0,0.0,0.0,0.2,1
0.0041,0.1184,0.0,0.0,0.0,0.2,0
0.2,0.5532,0.0,0.0,0.0,0.2,0
0.2,0.1856,0.0,0.0,0.0,0.2,0
0.6424,0.3115,0.9062,0.0,0.0,0.0,0
0.3215,0.3547,0.0,0.5,0.0,0.0,0
0.0673,0.3113,0.9062,0.0,0.0,0.0,0
0.6608,0.1065,0.0,0.0,0.0,0.0,0
0.6982,0.7606,0.0,0.0,0.0,0.45,0
0.9911,0.9995,0.9062,0.0,0.0,0.45,1
0.984,0.525,0.0,0.0,0.0,0.45,1
